answers
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
. however , such caveats are not usually considered when using irdc data to constrain msf . thus we abstain from such considerations . our study suggests that many irdcs , if not most , are not related to msf . one thus has to be prudent when using irdc properties to constrain msf initial conditions . most studies discussing irdcs as pre - msf sites concentrated on very opaque irdcs of large angular size . these clouds often violate eq . ( [ eq : mass - size - limit ] ) , and many of them are good
approximates an msf limit . many well - studied irdcs ( 25%50% ) fall short of this threshold ( section [ sec : well - studied - irdcs ] ) . less certain data for complete irdc samples suggests that most irdcs obey eq.([eq : mass - size - limit ] ) , and will thus not form massive stars ( section [ sec : typical - irdcs ] ) . still , most of the mass contained by irdcs might be in clouds forming massive stars ( i.e. , those violating eq . [ eq : mass - size
: msf - threshold ] ) . this suggests to use eq.([eq : mass - size - limit ] ) to roughly separate irdcs with ( future ) msf from those without . this letter is organized as follows . based on data from section [ sec : method ] , section [ sec : msf - threshold ] confirms ( using known msf clouds ) that eq . ( [ eq : mass - size - limit ] ) approximates an msf limit . many well - studied irdcs ( 25%50% ) fall short of this threshold ( section
slope or intercept ( fig . [ fig : msf - limit ] , section [ sec : msf - limits ] ) . * many irdcs ( section [ sec : well - studied - irdcs ] ) , if not most ( section [ sec : typical - irdcs ] ) , do not exceed eq . ( [ eq : mass - size - limit ] ) . without significant further evolution , such clouds are unlikely candidates for msf , but they might well form stars and clusters of up to intermediate mass ( like perseus
mass - size - comparison],title=""fig : "" ] & + ) approximates a mass - size limit for msf ( section [ sec : msf - threshold ] ) . only a fraction of the irdcs exceed this msf limit ( fig . [ fig : compactness ] , section [ sec : well - studied - irdcs ] ) . if a star - forming region contains more than one fragment ( i.e. , clump , core , etc . ) , the most compact fragment ( i.e. , with maximum @xmath6/m_{\rm{}lim}[r]$ ] ) is highlighted by a circle.[fig

Question: How can I find studies that discuss irdcs as pre-MSF sites that focus on opaque irdcs of large angular size that violate the mass-size limit equation (Eq. ([ eq : mass - size - limit ]))? To find studies that discuss irdcs as pre-MSF sites focusing on opaque irdcs of large angular size that violate the mass-size limit equation (Eq. ([ eq : mass - size - limit ])), you should look for research papers in the field of astrophysics that focus on Interstellar Dark Clouds (IRDCs) and their relation to Massive Star Formation (MSF). Specifically, focus on studies that:

1. Mention IRDCs with large angular sizes.
2. Discuss IRDCs that are opaque, meaning they have high"
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
lsp is avoided unless @xmath30 is larger than about 20 . the charged stau lsp can also be avoided if gaugino masses at the gut scale are non - universal@xcite , i.e. , the following boundary condition is given , @xmath31 this boundary condition can be given naturally within the gut framework @xcite . in this case , not only bino - like neutralino , but also wino - like , higgsino - like neutralino or sneutrino can be the lsp . for @xmath32 and @xmath33 , the lsp is wino - like neutralino . for example , when @xmath34
parameter space was identified . for the boundary condition , the following three cases were considered . first , universal gaugino masses are given at the gut scale . in this case , the cosmological constraint is severe and only the region @xmath9 and @xmath10 is allowed since stau tends to be light@xcite . the second case is that universal gaugino masses are given above the gut scale . and the third case is that non - universal gaugino masses are given at the gut scale . in this case wino , higgsino or sneutrino can be the lsp .
all the parameter region is excluded when universal gaugino masses are given at the gut scale . however , when the boundary condition is given above the gut scale , relatively large parameter region is allowed . we also consider the case that the non - universal gaugino masses are given at the gut scale . we will show that these constraints are important when the higgsino - like neutralino is the lsp . this paper is organized as follows . in section [ sec : noscalsebc ] , we review some phenomenological aspects of the no - scale models
we turn to the case that gaugino masses are non - universal at the gut scale . we explore the following three cases , wino - like neutralino lsp , higgsino - like neutralino lsp and the tau sneutrino lsp . we will see that in the wino - like neutralino lsp and tau sneutrino lsp cases , constraint is not so severe even if we combine higgs mass bound and @xmath12 data , but in the higgsino - like lsp case where stops are as light as sleptons and charginos , the predicted higgs mass tends to be small
only non - zero soft susy breaking masses are gaugino masses and higgs mixing mass @xmath8 at the energy scale where the boundary condition is given . hence phenomenological aspects of this scenario have been investigated in the literature , mainly focusing on the mass spectrum . direct search bounds and the cosmological constraint ( i.e. , a charged particle can not be the lsp if the r - parity is conserved ) were considered and allowed region in the parameter space was identified . for the boundary condition , the following three cases were considered . first , universal

Question: What is the search query for the boundary condition given within the GUT framework for non-universal gaugino masses to determine the LSP as a wino-like neutralino, bino-like neutralino, higgsino-like neutralino, or sneutrino? ""GUT framework boundary condition for non-universal gaugino masses allowing for wino-like neutralino LSP"""
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
